Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code
Trades,Data,Order,Stocks,USD,DBA,"2021-02-17, 06:26:56",2000.0,17.0,16.89,-34000.0,-10,34010,0,-220,O
Trades,Data,Order,Stocks,USD,DBA,"2021-03-31, 16:34:17",-2000.0,16.760255,16.94,33520.51,-10.4089546,-34010,-499.898955,-359.49,C;P
Trades,Data,Order,Stocks,USD,ETN,"2021-02-08, 10:55:09",200.0,120.0,120.22,-24000.0,-1,24001,0,44,O
Trades,Data,Order,Stocks,USD,ETN,"2021-02-12, 16:27:20",-100.0,124.0,123.98,12400.0,-1.28594,-12000.5,398.21406,2,C;P
Trades,Data,Order,Stocks,USD,ETN,"2021-02-12, 16:28:45",-100.0,123.95,123.98,12395.0,-1.2858295,-12000.5,393.21417,-3,C
Trades,Data,Order,Stocks,USD,GFI,"2021-02-03, 04:28:08",3000.0,9.18,9.18,-27540.0,-15,27555,0,0,O;P
Trades,Data,Order,Stocks,USD,GFI,"2021-03-17, 16:41:20",-3000.0,9.7,9.7,29100.0,-15.50541,-27555,1529.49459,0,C
Trades,Data,Order,Stocks,USD,GME,"2021-02-01, 08:40:27",100.0,323.1395,225,-32313.95,-1,32314.95,0,-9813.95,O;P
Trades,Data,Order,Stocks,USD,GME,"2021-02-01, 10:22:20",-100.0,250.0,225,25000.0,-1.5644,-32314.95,-7316.5144,2500,C;P
Trades,Data,Order,Stocks,USD,GME,"2021-02-02, 04:45:27",30.0,173.0,90,-5190.0,-1,5191,0,-2490,O
Trades,Data,Order,Stocks,USD,GME,"2021-02-02, 07:42:25",-30.0,147.39,90,4421.7,-1.10128957,-5191,-770.40129,1721.7,C
Trades,Data,Order,Stocks,USD,GME,"2021-03-05, 16:20:00",-200.0,45.0,194.5,9000.0,-0.0697,-8999.9303,0,-29900,A;O
Trades,Data,Order,Stocks,USD,GME,"2021-03-09, 12:33:26",20.0,238.0,246.9,-4760.0,-1,1155.926212,-3605.073788,178,C;P
Trades,Data,Order,Stocks,USD,GME,"2021-03-09, 15:58:05",-20.0,248.54,246.9,4970.8,-1.02773108,-4969.772269,0,32.8,O
Trades,Data,Order,Stocks,USD,GME,"2021-03-09, 16:01:08",-20.0,245.26,246.9,4905.2,-1.02739652,-4904.172603,0,-32.8,O
Trades,Data,Order,Stocks,USD,GME,"2021-03-10, 04:00:56",220.0,278.9986364,265,-61379.7,-1.1,20277.28078,-41103.51922,-3079.7,C;P
Trades,Data,Order,Stocks,USD,GME,"2021-03-10, 06:10:29",200.0,273.7436,265,-54748.72,-1,54749.72,0,-1748.72,O;P
Trades,Data,Order,Stocks,USD,GME,"2021-03-11, 09:50:07",-100.0,245.44,260,24544.0,-1.1370744,-27375.2,-2832.337074,-1456,C
Trades,Data,Order,Stocks,USD,GME,"2021-03-11, 10:01:14",-100.0,270.0,260,27000.0,-1.1496,-27374.52,-375.6696,1000,C
Trades,Data,Order,Stocks,USD,GME,"2021-03-11, 16:23:40",50.0,250.0,260,-12500.0,-1,12501,0,500,O
Trades,Data,Order,Stocks,USD,GME,"2021-03-12, 06:02:40",-50.0,270.298,264.5,13514.9,-1.07487599,-12501,1012.825123,289.9,C;P
Trades,Data,Order,Stocks,USD,GME,"2021-03-12, 09:47:46",-50.0,282.0,264.5,14100.0,-1.07786,-14098.92214,0,875,O
Trades,Data,Order,Stocks,USD,GME,"2021-03-12, 10:50:09",100.0,292.42,264.5,-29242.0,-1,14098.92214,-522.57786,-2792,C;O
Trades,Data,Order,Stocks,USD,GME,"2021-03-12, 15:20:04",50.0,271.89,264.5,-13594.5,-1,13595.5,0,-369.5,O
Trades,Data,Order,Stocks,USD,GME,"2021-03-12, 16:16:53",50.0,266.49,264.5,-13324.5,-1,13325.5,0,-99.5,O
Trades,Data,Order,Stocks,USD,GME,"2021-03-15, 09:56:18",-50.0,275.0,220.14,13750.0,-1.076075,-14621.5,-872.576075,2743,C
Trades,Data,Order,Stocks,USD,GME,"2021-03-15, 11:15:08",50.0,255.0,220.14,-12750.0,-1,12751,0,-1743,O
Trades,Data,Order,Stocks,USD,GME,"2021-03-15, 15:05:08",50.0,231.44,220.14,-11572.0,-1,11573,0,-565,O
Trades,Data,Order,Stocks,USD,GME,"2021-03-16, 07:09:24",50.0,200.0,208.17,-10000.0,-1,10001,0,408.5,O
Trades,Data,Order,Stocks,USD,GME,"2021-03-16, 09:31:51",-50.0,201.06,208.17,10053.0,-1.0572203,-13595.5,-3543.55722,-355.5,C
Trades,Data,Order,Stocks,USD,GME,"2021-03-16, 09:32:15",-50.0,206.98,208.17,10349.0,-1.0587299,-13325.5,-2977.55873,-59.5,C
Trades,Data,Order,Stocks,USD,GME,"2021-03-16, 09:32:36",-50.0,211.04,208.17,10552.0,-1.0597652,-12751,-2200.059765,143.5,C
Trades,Data,Order,Stocks,USD,GME,"2021-03-16, 09:33:54",-100.0,205.0,208.17,20500.0,-1.11645,-21574,-1075.11645,-317,C
Trades,Data,Order,Stocks,USD,GME,"2021-03-16, 10:12:30",50.0,181.63,208.17,-9081.5,-1,9082.5,0,1327,O
Trades,Data,Order,Stocks,USD,GME,"2021-03-16, 10:26:04",-50.0,180.0,208.17,9000.0,-1.05185,-9082.5,-83.55185,-1408.5,C
Trades,Data,Order,Stocks,USD,GME,"2021-03-16, 10:29:21",50.0,175.5,208.17,-8775.0,-1,8776,0,1633.5,O;P
Trades,Data,Order,Stocks,USD,GME,"2021-03-16, 10:33:23",-50.0,185.0,208.17,9250.0,-1.053125,-8776,472.946875,-1158.5,C;P
Trades,Data,Order,Stocks,USD,GME,"2021-03-16, 10:52:07",-50.0,190.0,208.17,9500.0,-1.0544,-9498.9456,0,-908.5,O
Trades,Data,Order,Stocks,USD,GME,"2021-03-16, 10:57:04",-50.0,193.65,208.17,9682.5,-1.05533075,-9681.444669,0,-726,O
Trades,Data,Order,Stocks,USD,GME,"2021-03-16, 11:05:53",-50.0,200.0,208.17,10000.0,-1.05695,-9998.94305,0,-408.5,O
Trades,Data,Order,Stocks,USD,GME,"2021-03-16, 12:16:47",-50.0,200.0,208.17,10000.0,-1.05695,-9998.94305,0,-408.5,O;P
Trades,Data,Order,Stocks,USD,GME,"2021-03-16, 14:11:50",-50.0,217.0,208.17,10850.0,-1.061285,-10848.93872,0,441.5,O;P
Trades,Data,Order,Stocks,USD,GME,"2021-03-16, 14:44:48",50.0,207.05,208.17,-10352.5,-1,9498.9456,-854.5544,56,C;P
Trades,Data,Order,Stocks,USD,GME,"2021-03-16, 18:57:14",100.0,205.016,208.17,-20501.6,-1,19680.38772,-822.212281,315.4,C;P
Trades,Data,Order,Stocks,USD,GME,"2021-03-16, 18:58:31",100.0,205.1917,208.17,-20519.17,-1,20847.88176,327.711764,297.83,C;P
Trades,Data,Order,Stocks,USD,GME,"2021-03-17, 07:47:41",-100.0,205.0,209.81,20500.0,-1.11645,-20498.88355,0,-481,O
Trades,Data,Order,Stocks,USD,GME,"2021-03-17, 08:37:46",-50.0,210.0,209.81,10500.0,-1.0595,-10498.9405,0,9.5,O
Trades,Data,Order,Stocks,USD,GME,"2021-03-17, 08:43:58",-50.0,214.9,209.81,10745.0,-1.0607495,-10743.93925,0,254.5,O
Trades,Data,Order,Stocks,USD,GME,"2021-03-17, 09:36:16",-50.0,225.0,209.81,11250.0,-1.063325,-11248.93668,0,759.5,O
Trades,Data,Order,Stocks,USD,GME,"2021-03-17, 10:07:24",50.0,215.5,209.81,-10775.0,-1,10249.44178,-526.558225,-284.5,C
Trades,Data,Order,Stocks,USD,GME,"2021-03-17, 11:36:54",-50.0,220.04,209.81,11002.0,-1.0620602,-11000.93794,0,511.5,O
Trades,Data,Order,Stocks,USD,GME,"2021-03-17, 15:45:10",50.0,205.5,209.81,-10275.0,-1,10249.44178,-26.558225,215.5,C
Trades,Data,Order,Stocks,USD,GME,"2021-03-18, 04:53:24",-50.0,217.0,201.75,10850.0,-1.061285,-10848.93872,0,762.5,O
Trades,Data,Order,Stocks,USD,GME,"2021-03-18, 09:56:31",50.0,202.5,201.75,-10125.0,-1,10498.9405,372.9405,-37.5,C;P
Trades,Data,Order,Stocks,USD,GME,"2021-03-18, 15:56:13",50.0,199.65,201.75,-9982.5,-1,10743.93925,760.43925,105,C
Trades,Data,Order,Stocks,USD,GME,"2021-03-18, 16:21:01",-50.0,201.25,201.75,10062.5,-1.05726875,-10061.44273,0,-25,O;P
Trades,Data,Order,Stocks,USD,GME,"2021-03-19, 09:36:03",50.0,190.5,200.27,-9525.0,-1,11248.93668,1722.936676,488.5,C;P
Trades,Data,Order,Stocks,USD,GME,"2021-03-19, 09:40:46",50.0,185.5,200.27,-9275.0,-1,11000.93794,1724.93794,738.5,C;P
Trades,Data,Order,Stocks,USD,GME,"2021-03-19, 11:42:54",-50.0,195.75,200.27,9787.5,-1.05586625,-9786.444134,0,-226,O
Trades,Data,Order,Stocks,USD,GME,"2021-03-19, 11:55:28",-50.0,209.26,200.27,10463.0,-1.0593113,-10461.94069,0,449.5,O
Trades,Data,Order,Stocks,USD,GME,"2021-03-19, 12:37:06",-50.0,224.49,200.27,11224.5,-1.06319495,-11223.43681,0,1211,O
Trades,Data,Order,Stocks,USD,GME,"2021-03-19, 13:27:03",50.0,210.5,200.27,-10525.0,-1,10848.93872,322.938715,-511.5,C
Trades,Data,Order,Stocks,USD,GME,"2021-03-19, 16:05:46",200.0,199.0,200.27,-39800.0,-1,41533.26436,1732.26436,254,C;P
Trades,Data,Order,Stocks,USD,GME,"2021-03-19, 16:20:00",-200.0,200.0,200.27,40000.0,-0.2278,-39999.7722,0,-54,A;O
Trades,Data,Order,Stocks,USD,GME,"2021-03-22, 06:19:06",200.0,196.7998,194.49,-39359.96,-1,45799.03242,6438.07242,-461.96,C;P
Trades,Data,Order,Stocks,USD,GME,"2021-03-22, 12:43:51",100.0,187.33,194.49,-18733.0,-1,18734,0,716,O
Trades,Data,Order,Stocks,USD,GME,"2021-03-22, 15:38:07",-100.0,192.66,194.49,19266.0,-1.1101566,-18734,530.889843,-183,C
Trades,Data,Order,Stocks,USD,GME,"2021-03-23, 10:36:56",100.0,186.0,181.75,-18600.0,-1,18601,0,-425,O
Trades,Data,Order,Stocks,USD,GME,"2021-03-23, 13:16:10",-100.0,188.5,181.75,18850.0,-1.108035,-18601,247.891964,675,C;P
Trades,Data,Order,Stocks,USD,GME,"2021-03-23, 14:52:11",100.0,181.0,181.75,-18100.0,-1,18101,0,75,O
Trades,Data,Order,Stocks,USD,GME,"2021-03-23, 15:24:41",-100.0,184.95,181.75,18495.0,-1.1062245,-18101,392.893775,320,C;P
Trades,Data,Order,Stocks,USD,GME,"2021-03-23, 16:31:11",-100.0,193.0,181.75,19300.0,-1.11033,-19298.88967,0,1125,O
Trades,Data,Order,Stocks,USD,GME,"2021-03-23, 16:39:17",100.0,188.0,181.75,-18800.0,-1,19298.88967,497.88967,-625,C
Trades,Data,Order,Stocks,USD,GME,"2021-03-23, 17:02:52",100.0,174.0,181.75,-17400.0,-1,17401,0,775,O;P
Trades,Data,Order,Stocks,USD,GME,"2021-03-23, 17:07:20",-100.0,177.0,181.75,17700.0,-1.10217,-17401,297.89783,-475,C;P
Trades,Data,Order,Stocks,USD,GME,"2021-03-23, 17:10:07",-100.0,179.0,181.75,17900.0,-1.10319,-17898.89681,0,-275,O
Trades,Data,Order,Stocks,USD,GME,"2021-03-23, 17:23:24",100.0,169.0,181.75,-16900.0,-1,17898.89681,997.89681,1275,C;P
Trades,Data,Order,Stocks,USD,GME,"2021-03-23, 17:36:53",-100.0,156.39,181.75,15639.0,-1.0916589,-15637.90834,0,-2536,O
Trades,Data,Order,Stocks,USD,GME,"2021-03-23, 17:47:40",-100.0,162.6,181.75,16260.0,-1.094826,-16258.90517,0,-1915,O
Trades,Data,Order,Stocks,USD,GME,"2021-03-23, 18:37:52",-100.0,160.4997,181.75,16049.97,-1.093754847,-16048.87625,0,-2125.03,O;P
Trades,Data,Order,Stocks,USD,GME,"2021-03-25, 10:11:46",-100.0,137.0,183.75,13700.0,-1.08177,-13698.91823,0,-4675,O;P
Trades,Data,Order,Stocks,USD,GME,"2021-03-26, 11:29:33",100.0,177.5,181,-17750.0,-1,15637.90834,-2113.091659,350,C
Trades,Data,Order,Stocks,USD,GME,"2021-03-26, 11:31:29",-100.0,183.5,181,18350.0,-1.105485,-18348.89452,0,250,O
Trades,Data,Order,Stocks,USD,GME,"2021-03-26, 13:50:41",100.0,172.3,181,-17230.0,-1,16258.90517,-972.094826,870,C;P
Trades,Data,Order,Stocks,USD,GME,"2021-03-26, 14:33:33",-100.0,176.2,181,17620.0,-1.101762,-17618.89824,0,-480,O
Trades,Data,Order,Stocks,USD,GME,"2021-04-05, 06:39:43",100.0,171.902,186.95,-17190.2,-1,16048.87625,-1142.323754,1504.8,C;P
Trades,Data,Order,Stocks,USD,GME,"2021-04-05, 06:48:43",100.0,157.999,186.95,-15799.9,-1,13698.91823,-2101.98177,2895.1,C;P
Trades,Data,Order,Stocks,USD,GME,"2021-04-05, 08:15:07",-100.0,168.0,186.95,16800.0,-1.09758,-16798.90242,0,-1895,O
Trades,Data,Order,Stocks,USD,GME,"2021-04-05, 08:50:14",-100.0,170.0,186.95,17000.0,-1.0986,-16998.9014,0,-1695,O
Trades,Data,Order,Stocks,USD,GME,"2021-04-05, 09:39:25",100.0,165.0,186.95,-16500.0,-1,18348.89452,1847.894515,2195,C
Trades,Data,Order,Stocks,USD,GME,"2021-04-05, 09:48:50",-100.0,176.525,186.95,17652.5,-1.10192775,-17651.39807,0,-1042.5,O;P
Trades,Data,Order,Stocks,USD,GME,"2021-04-05, 09:51:40",-100.0,180.01,186.95,18001.0,-1.1037051,-17999.89629,0,-694,O;P
Trades,Data,Order,Stocks,USD,GME,"2021-04-05, 10:02:31",100.0,175.15,186.95,-17515.0,-1,17618.89824,102.898239,1180,C;P
Trades,Data,Order,Stocks,USD,GME,"2021-04-05, 11:13:43",-100.0,186.034,186.95,18603.4,-1.10677734,-18602.29322,0,-91.6,O;P
Trades,Data,Order,Stocks,USD,GME,"2021-04-05, 12:44:17",100.0,181.55,186.95,-18155.0,-1,16798.90242,-1357.09758,540,C
Trades,Data,Order,Stocks,USD,GME,"2021-04-05, 16:05:36",-100.0,186.95,186.95,18695.0,-1.1072445,-18693.89276,0,0,O
Trades,Data,Order,Stocks,USD,GME,"2021-04-07, 07:43:39",100.0,182.05,177.97,-18205.0,-1,16998.9014,-1207.0986,-408,C;P
Trades,Data,Order,Stocks,USD,GME,"2021-04-08, 04:13:51",100.0,175.5,170.26,-17550.0,-1,17651.39807,100.398072,-524,C
Trades,Data,Order,Stocks,USD,GME,"2021-04-08, 08:11:46",-100.0,186.0,170.26,18600.0,-1.10676,-18598.89324,0,1574,O;P
Trades,Data,Order,Stocks,USD,GME,"2021-04-08, 14:09:32",100.0,172.55,170.26,-17255.0,-1,17999.8963,743.896295,-229,C;P
Trades,Data,Order,Stocks,USD,GME,"2021-04-08, 14:38:28",100.0,167.55,170.26,-16755.0,-1,18602.29322,1846.293223,271,C
Trades,Data,Order,Stocks,USD,GME,"2021-04-09, 04:03:20",-100.0,172.55,158.36,17255.0,-1.0999005,-17253.9001,0,1419,O;P
Trades,Data,Order,Stocks,USD,GME,"2021-04-09, 12:29:51",100.0,162.38,158.36,-16238.0,-1,18693.89276,2454.892756,-402,C
Trades,Data,Order,Stocks,USD,GME,"2021-04-09, 13:10:57",100.0,157.5,158.36,-15750.0,-1,18598.89324,2847.89324,86,C;P
Trades,Data,Order,Stocks,USD,GME,"2021-04-12, 04:08:02",-100.0,163.5,141.09,16350.0,-1.095285,-16348.90472,0,2241,O;P
Trades,Data,Order,Stocks,USD,GME,"2021-04-12, 09:48:13",100.0,151.5,141.09,-15150.0,-1,17253.9001,2102.9001,-1041,C;P
