Mark-to-Market Performance Summary,Data,Futures,S30YK1,0,0,--,--,58,64,-0.59,0,121.41,,,,
Mark-to-Market Performance Summary,Data,Futures,ZB   JUN 21,0,0,--,--,1000,-93.75,-3.34,0,902.91,,,,
Mark-to-Market Performance Summary,Data,Futures,ZN   JUN 21,0,0,--,--,562.5,15.625,-3.24,0,574.885,,,,
Mark-to-Market Performance Summary,Data,Futures,ZN   SEP 21,0,-1,--,132.765625,-687.5,-234.375,-1.62,0,-923.495,,,,
Mark-to-Market Performance Summary,Data,Total,,,,,,10888,-3361,-90.3,0,7436.7,,,,
Mark-to-Market Performance Summary,Data,Options On Futures,AUD 09APR21 0.76 P,0,0,--,--,1590,-390,-7.41,0,1192.59,,,,
Mark-to-Market Performance Summary,Data,Options On Futures,GC APR21 1700.0 P,0,0,--,--,40,140,-4.74,0,175.26,,,,
Mark-to-Market Performance Summary,Data,Options On Futures,EUR 03MAR21 1.215 C,0,0,--,--,1925,-650,-39.52,0,1235.48,,,,
Mark-to-Market Performance Summary,Data,Options On Futures,EUR 07APR21 1.19 P,0,0,--,--,625,-75,-2.47,0,547.53,,,,
Mark-to-Market Performance Summary,Data,Options On Futures,EUR 14APR21 1.1925 C,0,0,--,--,-1050,2050,-19.76,0,980.24,,,,
Mark-to-Market Performance Summary,Data,Options On Futures,EUR 17MAR21 1.2 P,0,0,--,--,650,1012.5,-24.7,0,1637.8,,,,
Mark-to-Market Performance Summary,Data,Options On Futures,EUR 24FEB21 1.215 C,0,0,--,--,2700,-337.5,-44.46,0,2318.04,,,,
Mark-to-Market Performance Summary,Data,Total,,,,,,6480,1750,-143.06,0,8086.94,,,,
Mark-to-Market Performance Summary,Data,Forex,AUD,0,4971.162,0.76929,0.77321,-35.2209466,0,0,0,-35.2209466,,,,
Mark-to-Market Performance Summary,Data,Forex,CAD,108.2690749,1400.469075,0.7853,0.82589,486.3578824,-143.09756,-4,0,339.2603224,,,,
Mark-to-Market Performance Summary,Data,Forex,CHF,4419.49002,196.6000348,1.1298,1.1163,-14.38918947,-0.002836,0,0,-14.39202547,,,,
Mark-to-Market Performance Summary,Data,Forex,EUR,-317.186475,13310.23801,1.2216,1.218,2591.011745,0,0,0,2591.011745,,,,
Mark-to-Market Performance Summary,Data,Forex,GBP,0,143.44,1.3666,1.4115,-1106.655276,0,0,0,-1106.655276,,,,
Mark-to-Market Performance Summary,Data,Forex,HKD,0,-142510.2049,--,0.12887,-6.24772612,0,0,0,-6.24772612,,,,
Mark-to-Market Performance Summary,Data,Forex,JPY,31133.19801,-3517.136994,0.0096799,0.0091208,0.01482919,1710.575134,-30.082756,0,1680.507207,,,,
Mark-to-Market Performance Summary,Data,Forex,NZD,0,0,0.71846,0.71789,1733,0,0,0,1733,,,,
Mark-to-Market Performance Summary,Data,Forex,USD,170023.3995,544385.6202,1,1,0,-2923.76285,-118.44162,0,-3042.20447,,,,
Mark-to-Market Performance Summary,Data,Total,,,,,,3647.871318,-1356.288112,-152.524376,0,2139.05883,,,,
Mark-to-Market Performance Summary,Data,Bonds,ATI 5 7/8 08/15/23,25000,0,109.410004,--,-238.9995,-82.2505,-28.25,1203.13,853.63,,,,
Mark-to-Market Performance Summary,Data,Bonds,BRASKM 6.45 02/03/24,200000,0,110.035,--,2829.994,-899.994,-168.25,7130.83,8892.58,,,,
Mark-to-Market Performance Summary,Data,Bonds,DSPORT 5 3/8 08/15/26,0,10000,--,77.900002,-279.9997,-0.0003,-10,10.45,-279.55,,,,
Mark-to-Market Performance Summary,Data,Bonds,FLR 3 1/2 12/15/24,50000,0,98.786003,--,1746.9995,-89.9995,-20.75,486.11,2122.36,,,,
Mark-to-Market Performance Summary,Data,Bonds,MUR 6 7/8 08/15/24,0,0,--,--,199.8001,-49.8001,-29.75,101.22,221.47,,,,
Mark-to-Market Performance Summary,Data,Bonds,SIG 4.7 06/15/24,0,0,--,--,259.9985,-197.4985,-84,169.72,148.22,,,,
Mark-to-Market Performance Summary,Data,Total,,,,,,4517.7929,-1319.5429,-341,9101.46,11958.71,,,,
Mark-to-Market Performance Summary,Data,Total (All Assets),,,,,,33225.0188,-22472.88276,-2902.8764,10867.93396,18717.19359,,,,
Mark-to-Market Performance Summary,Data,Broker Interest Paid and Received,,,,,,,,,,-2342.932268,,,,
Mark-to-Market Performance Summary,Data,Other Fees,,,,,,,,,,-1.52,,,,
Total P/L for Statement Period,,,,,,,,,,,,16372.74132,,,,
Realized & Unrealized Performance Summary,Header,Asset Category,Symbol,Cost Adj.,Realized S/T Profit,Realized S/T Loss,Realized L/T Profit,Realized L/T Loss,Realized Total,Unrealized S/T Profit,Unrealized S/T Loss,Unrealized L/T Profit,Unrealized L/T Loss,Unrealized Total,Total,Code
Realized & Unrealized Performance Summary,Data,Stocks,3436.T,0,1175.787255,0,0,0,1175.787255,0,0,0,0,0,1175.787255,
Realized & Unrealized Performance Summary,Data,Stocks,700,0,1096.761411,0,0,0,1096.761411,0,0,0,0,0,1096.761411,
Realized & Unrealized Performance Summary,Data,Stocks,968,0,8009.988512,0,0,0,8009.988512,0,0,0,0,0,8009.988512,
Realized & Unrealized Performance Summary,Data,Stocks,9888,0,0,0,0,0,0,0,-3567.829998,0,0,-3567.829998,-3567.829998,
Realized & Unrealized Performance Summary,Data,Stocks,AAPL,0,555.369334,-2.15844,0,0,553.210894,0,0,0,0,0,553.210894,
Realized & Unrealized Performance Summary,Data,Stocks,ABN,0,952.391136,0,0,0,952.391136,0,0,0,0,0,952.391136,
Realized & Unrealized Performance Summary,Data,Stocks,AGS,0,506.4237738,0,0,0,506.4237738,0,0,0,0,0,506.4237738,
Realized & Unrealized Performance Summary,Data,Stocks,BN,0,479.6600543,0,0,0,479.6600543,0,0,0,0,0,479.6600543,
Realized & Unrealized Performance Summary,Data,Stocks,CX,0,3155.362062,0,0,0,3155.362062,0,0,0,0,0,3155.362062,
Realized & Unrealized Performance Summary,Data,Stocks,DBA,0,0,-499.8989546,0,0,-499.8989546,0,0,0,0,0,-499.8989546,
Realized & Unrealized Performance Summary,Data,Stocks,DG,0,758.6365992,0,0,0,758.6365992,0,0,0,0,0,758.6365992,
Realized & Unrealized Performance Summary,Data,Stocks,ETN,0,791.4282305,0,0,0,791.4282305,0,0,0,0,0,791.4282305,
Realized & Unrealized Performance Summary,Data,Stocks,GFI,0,1529.49459,0,0,0,1529.49459,0,0,0,0,0,1529.49459,
Realized & Unrealized Performance Summary,Data,Stocks,GME,0,39783.40925,-82186.70872,0,0,-42403.29947,0,-36083.31461,0,0,-36083.31461,-78486.61408,
Realized & Unrealized Performance Summary,Data,Stocks,HMY,0,2023.04872,0,0,0,2023.04872,0,0,0,0,0,2023.04872,
Realized & Unrealized Performance Summary,Data,Stocks,INN1d,0,1578.663423,0,0,0,1578.663423,0,0,0,0,0,1578.663423,
Realized & Unrealized Performance Summary,Data,Stocks,LIGHT,0,78.54698139,-2.99473989,0,0,75.5522415,0,0,0,0,0,75.5522415,
Realized & Unrealized Performance Summary,Data,Stocks,MBT,0,2774.498415,0,0,0,2774.498415,0,0,0,0,0,2774.498415,
Realized & Unrealized Performance Summary,Data,Stocks,NCM,0,1994.595657,0,0,0,1994.595657,0,0,0,0,0,1994.595657,
Realized & Unrealized Performance Summary,Data,Stocks,NEM,0,2705.197591,0,0,0,2705.197591,0,0,0,0,0,2705.197591,
Realized & Unrealized Performance Summary,Data,Stocks,PAASF,0,0,0,0,-541.5167405,-541.5167405,0,0,0,0,0,-541.5167405,
Realized & Unrealized Performance Summary,Data,Stocks,PBR,0,1202.63295,-767.0332483,0,0,435.5997017,0,0,0,0,0,435.5997017,
Realized & Unrealized Performance Summary,Data,Stocks,PRX,0,1199.6256,0,0,0,1199.6256,0,0,0,0,0,1199.6256,
Realized & Unrealized Performance Summary,Data,Stocks,QQQ,0,602.8256395,0,0,0,602.8256395,0,0,0,0,0,602.8256395,
Realized & Unrealized Performance Summary,Data,Stocks,R6Cd,0,4349.865756,0,0,0,4349.865756,0,0,0,0,0,4349.865756,
Realized & Unrealized Performance Summary,Data,Stocks,RB.,0,218.092112,0,0,0,218.092112,0,0,0,0,0,218.092112,
Realized & Unrealized Performance Summary,Data,Stocks,SGO,0,629.6470879,-2.22664951,0,0,627.4204384,0,0,0,0,0,627.4204384,
Realized & Unrealized Performance Summary,Data,Stocks,SOLB,0,322.27323,0,0,0,322.27323,0,0,0,0,0,322.27323,
Realized & Unrealized Performance Summary,Data,Stocks,SSRM,0,635.05638,0,0,0,635.05638,0,0,0,0,0,635.05638,
Realized & Unrealized Performance Summary,Data,Stocks,TYR,0,1943.877516,0,0,0,1943.877516,0,0,0,0,0,1943.877516,
Realized & Unrealized Performance Summary,Data,Stocks,UNVB,0,129.7984,0,0,0,129.7984,0,0,0,0,0,129.7984,
Realized & Unrealized Performance Summary,Data,Stocks,VIV,0,992.5076,0,0,0,992.5076,0,0,0,0,0,992.5076,
Realized & Unrealized Performance Summary,Data,Stocks,VOW3d,0,4703.235528,0,0,0,4703.235528,0,0,0,0,0,4703.235528,
Realized & Unrealized Performance Summary,Data,Total,,0,86878.70079,-83461.02075,0,-541.5167405,2876.163299,0,-39651.14461,0,0,-39651.14461,-36774.98131,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,CI 16APR21 190.0 P,0,168.25714,0,0,0,168.25714,0,0,0,0,0,168.25714,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,COP 20AUG21 47.0 P,0,0,0,0,0,0,2331.088794,0,0,0,2331.088794,2331.088794,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,COP 20AUG21 55.0 C,0,0,0,0,0,0,3574.372,0,0,0,3574.372,3574.372,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,COP 20AUG21 60.0 C,0,0,0,0,0,0,0,-2104.37673,0,0,-2104.37673,-2104.37673,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,GME 05FEB21 400.0 C,0,8688.066351,0,0,0,8688.066351,0,0,0,0,0,8688.066351,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,GME 12FEB21 200.0 C,0,2248.874475,0,0,0,2248.874475,0,0,0,0,0,2248.874475,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,GME 07MAY21 250.0 C,0,1118.625438,0,0,0,1118.625438,0,0,0,0,0,1118.625438,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,GME 21MAY21 140.0 P,0,483.120245,0,0,0,483.120245,0,0,0,0,0,483.120245,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,NESN 19MAR21 98.0 P,0,211.58092,0,0,0,211.58092,0,0,0,0,0,211.58092,
