Instrument,Currency,Result,Quantity,EntryDt,Entry,Closure Dt,Closure,Result in BC,Multiplier,Type
EUR 17MAR21 1.2 P,USD,-1062.5,-1.0,"2021-03-01, 08:26:26",0.0085,"2021-03-17, 17:15:00",0.0,-1062.5,125000.0,Options On Futures
EUR 24FEB21 1.215 C,USD,-2362.5,-9.0,"2021-02-12, 14:52:07",0.0031,"2021-02-17, 08:40:52",0.001,-2362.5,125000.0,Options On Futures
USD.CAD,CAD,-442.9999999999934,-100000.0,"2021-02-18, 16:30:50",1.26732,"2021-02-19, 07:15:45",1.26289,-358.8299999999947,1.0,Forex
EUR.JPY,JPY,-179999.9999999997,-500000.0,"2021-02-08, 06:05:51",127.06,"2021-02-08, 11:03:11",126.7,-1619.9999999999973,1.0,Forex
AUD.USD,USD,-2649.99999999993,1000000.0,"2021-03-23, 09:43:37",0.76789,"2021-03-23, 13:58:28",0.76524,-2649.99999999993,1.0,Forex
EUR.USD,USD,39.987499999977196,125000.0,"2021-01-07, 05:14:10",1.2149301000000001,"2021-02-22, 10:13:29",1.21525,39.987499999977196,1.0,Forex
EUR.USD,USD,103.7374999999785,125000.0,"2021-01-07, 05:14:10",1.2149301000000001,"2021-02-22, 12:06:51",1.21576,103.7374999999785,1.0,Forex
EUR.USD,USD,167.4874999999798,125000.0,"2021-01-07, 05:14:10",1.2149301000000001,"2021-02-22, 12:24:21",1.21627,167.4874999999798,1.0,Forex
EUR.USD,USD,228.73749999999248,125000.0,"2021-01-07, 05:14:10",1.2149301000000001,"2021-02-22, 14:42:16",1.21676,228.73749999999248,1.0,Forex
EUR.USD,USD,289.98749999997744,125000.0,"2021-01-07, 05:14:10",1.2149301000000001,"2021-02-22, 19:52:39",1.21725,289.98749999997744,1.0,Forex
EUR.USD,USD,354.98749999998694,125000.0,"2021-01-07, 05:14:10",1.2149301000000001,"2021-02-23, 02:48:43",1.21777,354.98749999998694,1.0,Forex
EUR.USD,USD,118.32500000000246,125000.0,"2021-01-07, 05:14:10",1.2149034,"2021-02-23, 11:33:22",1.21585,118.32500000000246,1.0,Forex
EUR.USD,USD,418.32499999999715,125000.0,"2021-01-07, 05:14:10",1.2149034,"2021-02-25, 00:13:38",1.21825,418.32499999999715,1.0,Forex
EUR.USD,USD,482.07499999999845,125000.0,"2021-01-07, 05:14:10",1.2149034,"2021-02-25, 02:59:00",1.21876,482.07499999999845,1.0,Forex
EUR.USD,USD,596.2499999999926,125000.0,"2021-01-07, 05:14:10",1.1849,"2021-03-09, 04:10:15",1.18967,596.2499999999926,1.0,Forex
GBP.USD,USD,1265.9999999999673,-300000.0,"2021-02-18, 13:45:02",1.3971,"2021-02-19, 07:55:51",1.40132,1265.9999999999673,1.0,Forex
NZD.USD,USD,1241.0000000000032,200000.0,"2021-03-23, 07:34:04",0.700615,"2021-04-05, 11:27:53",0.70682,1241.0000000000032,1.0,Forex
MUR 6 7/8 08/15/24,USD,15000.0,10000.0,"2021-02-04, 15:45:37",100.5,"2021-03-29, 10:17:04",102.0,15000.0,1.0,Bonds
SIG 4.7 06/15/24,USD,6250.0,50000.0,"2021-03-10, 09:53:11",100.25,"2021-04-06, 13:03:22",100.375,6250.0,1.0,Bonds
